id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1674306,2021-07-23,Vente,63800.0,75,RUE AMIRAL BOUVET,0530,97470,97410,Saint-Benoît,974,1,Appartement,42.0,2,55.720528,-21.036853
2021-1674309,2021-07-26,Vente en l'état futur d'achèvement,240000.0,16,RUE MAHATMA GANDHI,0247,97419,97408,La Possession,974,1,Appartement,72.0,4,55.322778,-20.957821
2021-1674310,2021-07-23,Vente,155000.0,59,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,1,Appartement,70.0,3,55.477467,-20.912049
2021-1674311,2021-07-23,Vente en l'état futur d'achèvement,247000.0,5109,RUE DESBASSYNS,0248,97438,97418,Sainte-Marie,974,1,Appartement,64.0,3,55.515588,-20.919745
2021-1674312,2021-07-02,Vente,160000.0,28,RUE JEAN SALELES,0788,97411,97415,Saint-Paul,974,0,Maison,101.0,4,55.321166,-20.976429
2021-1674313,2021-06-29,Vente,116000.0,1,RUE DE L ANJOU,0094,97490,97411,Saint-Denis,974,1,Appartement,53.0,3,55.490874,-20.902756
2021-1674314,2021-02-21,Vente,72000.0,230,CHE DU CENTRE,0430,97440,97409,Saint-André,974,1,Appartement,62.0,3,55.64828,-20.941634
2021-1674315,2021-07-28,Vente,361100.0,15,RUE JOSE MARTY,0212,97419,97408,La Possession,974,0,Maison,200.0,9,55.342174,-20.928776
2021-1674316,2021-07-15,Vente en l'état futur d'achèvement,101100.0,12,RUE DU BEARN,0157,97490,97411,Saint-Denis,974,1,Appartement,22.0,1,55.489818,-20.903137
2021-1674317,2021-07-15,Vente,53000.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.443835,-20.878704
2021-1674318,2021-07-07,Vente,225360.0,81,RUE JEANNE D ARC,0271,97420,97407,Le Port,974,1,Appartement,85.0,4,55.292082,-20.940823
2021-1674319,2021-07-08,Vente,65000.0,144,RUE DE CAMBUSTON,0390,97440,97409,Saint-André,974,1,Appartement,46.0,2,55.642868,-20.932604
2021-1674320,2021-07-12,Vente,224300.0,63,RUE DIORFLAR,0478,97422,97415,Saint-Paul,974,1,Maison,79.0,3,55.277503,-21.099603
2021-1674321,2021-07-09,Vente,335000.0,30,RUE CLEMENT ADER,0045,97438,97418,Sainte-Marie,974,0,Maison,117.0,4,55.521922,-20.901819
2021-1674322,2021-07-07,Vente,77000.0,12,RUE DU MAINE,0806,97490,97411,Saint-Denis,974,1,Appartement,44.0,2,55.49054,-20.902613
2021-1674323,2021-07-16,Vente,297000.0,61,RTE DU VIEUX FLAMBOYANT,1483,97435,97415,Saint-Paul,974,0,Maison,77.0,4,55.282475,-21.043015
